Designator,Footprint,Quantity,Value,LCSC Part #
"3V3_LDO_1, 3V3_LDO_2, 3V3_SW1, 5V_SW1",LED_SMLD12_ROM,4,LED_1.9V_Forward_SML-E12DWT86,
"C1, C2",CAPPRD500W65D1000H1600,2,1000µF,
"C10, C45, C46",CAPC1608X90N,3,1µF,
"C11, C12, C3, C4, C47, C48, C9",CAP_CL10_SAM,7,0.1µF,
"C13, C14",CAPC1608X90,2,4.7nF,
"C15, C16, C17, C18, C19, C20, C41, C42, C43, C44, C49, C50, C52, C54",CAPC3216X180N,14,22µF,
"C21, C22",CAPC1608X90N,2,0.01µF,
"C23, C24, C25, C26",CAPPRD350W65D800H1300,4,220µF,
"C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C5, C51, C53, C6, C7, C8",CAPC3216X140N,20,10µF,
CR1,SMASeries_LTF,1,17V,
CR2,DPAK_6p73x6p22-2p286_STM,1,10A,
D1,SOD323F_DIO,1,16V,
F1,FUSE_31.8221_SCH,1,4A (max),
FL1,FIL_ACMP-5025-251-T,1,Common Mode Chokes 5A,
J1,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_MountingPin,
J2,691412120002B,1,691412120002B,
J5,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Top_Bottom,
L1,IND_VLS6045EX-3R3N,1,3.3µH,
L2,IND_VLS6045EX-4R7M,1,4.7µH,
L3,IND_ETQP4M330KVC,1,33µH,
"L4, L5",IND_1608_TDK,2,3A,
"L6, L7",IND_ETQP4M330KFM,2,33µH,
"R1, R2",RES_ERJP06D1003V,2,100kΩ,
"R10, R14, R15",RC1206N_YAG,3,73.2Ω,
R11,RC1206N_YAG,1,162Ω,
"R12, R13, R9",RES_ERJ-PB6B1243V,3,124kΩ,
"R3, R4",RESC2012X60N,2,22.1kΩ,
R5,RESC3116X65N,1,220Ω,
"R6, R7",RESC3015X65N,2,10kΩ,
R8,RESC2012X60N,1,75kΩ,
U1,SO8_DIO,1,MOSFET_Pchannel_DMP3037LSS-13,
U2,RSA0016B-IPC_A,1,IC_TPS54394RSAR,
"U3, U4",SOT230P700X180-4N,2,IC_LDO_LDL1117S33R,
