Designator,Mid X,Mid Y,Rotation,Layer
3V3_LDO_1,143.9,-43.8,270.0,top
3V3_LDO_2,147.933333,-43.8,270.0,top
3V3_SW1,151.966667,-43.8,270.0,top
5V_SW1,156.0,-43.8,270.0,top
C1,168.75,-97.95,180.0,top
C10,149.95,-67.3,90.0,top
C11,153.665532,-74.35,90.0,top
C12,146.234468,-74.35,90.0,top
C13,151.75,-55.3,270.0,top
C14,148.15,-55.3,270.0,top
C15,166.1,-64.05,180.0,top
C16,133.8,-64.05,0.0,top
C17,166.1,-61.65,180.0,top
C18,133.8,-61.65,0.0,top
C19,170.8,-61.65,0.0,top
C2,156.95,-97.95,180.0,top
C20,129.1,-61.65,180.0,top
C21,153.55,-66.3,270.0,top
C22,146.35,-66.3,270.0,top
C23,169.75,-87.4,180.0,top
C24,160.281,-87.4,180.0,top
C25,150.812,-87.4,180.0,top
C26,141.343,-87.4,180.0,top
C27,163.05,-75.771968,270.0,top
C28,136.85,-75.771968,270.0,top
C29,165.45,-75.771968,270.0,top
C3,151.5996,-76.65,0.0,top
C30,134.45,-75.771968,270.0,top
C31,167.85,-75.771968,270.0,top
C32,132.05,-75.771968,270.0,top
C33,170.25,-75.771968,270.0,top
C34,129.65,-75.771968,270.0,top
C35,163.05,-71.071968,90.0,top
C36,136.85,-71.071968,90.0,top
C37,165.45,-71.071968,90.0,top
C38,134.45,-71.071968,90.0,top
C39,167.85,-71.071968,90.0,top
C4,148.3,-76.65,180.0,top
C40,132.05,-71.071968,90.0,top
C41,170.8,-48.95,0.0,top
C42,129.1,-48.95,180.0,top
C43,170.8,-46.55,0.0,top
C44,129.1,-46.55,180.0,top
C45,166.465,-45.15,180.0,top
C46,133.435,-45.15,0.0,top
C47,166.46,-43.6,180.0,top
C48,133.44,-43.6,0.0,top
C49,166.1,-48.95,180.0,top
C5,152.5,-78.6,0.0,top
C50,133.8,-48.95,0.0,top
C51,145.586,-50.95,180.0,bottom
C52,140.49,-50.95,0.0,bottom
C53,161.586,-50.95,180.0,bottom
C54,156.49,-50.95,0.0,bottom
C6,147.3996,-78.6,180.0,top
C7,152.5,-81.0,0.0,top
C8,147.3996,-81.0,180.0,top
C9,150.2672,-106.7904,180.0,top
CR1,142.1,-116.45,0.0,bottom
CR2,159.6,-112.5426,180.0,top
D1,153.7534,-108.8632,180.0,top
F1,160.45,-107.8528,180.0,bottom
FL1,166.05,-109.2118,90.0,top
J1,142.3,-108.75,0.0,top
J2,131.4,-101.15,0.0,top
J5,149.95,-33.975,90.0,top
L1,158.5,-73.421968,0.0,top
L2,141.4,-73.421968,180.0,top
L3,143.4,-97.95,180.0,top
L4,155.55,-91.3,0.0,top
L5,146.1,-91.3,0.0,top
L6,168.45,-55.3,90.0,top
L7,131.45,-55.3,90.0,top
R1,151.75,-59.8,90.0,top
R10,140.553,-48.55,0.0,bottom
R11,161.647,-48.55,180.0,bottom
R12,166.36,-46.85,180.0,top
R13,133.54,-46.85,0.0,top
R14,156.553,-48.55,0.0,bottom
R15,149.95,-49.95,90.0,top
R2,148.15,-59.8,90.0,top
R3,151.75,-66.322,270.0,top
R4,148.15,-66.322,270.0,top
R5,149.675,-108.8632,180.0,top
R6,159.13,-81.75,0.0,top
R7,140.77,-81.75,180.0,top
R8,155.35,-66.322,270.0,top
R9,144.65,-66.125,270.0,top
U1,153.0,-113.9904,270.0,top
U2,149.95,-72.446969,90.0,top
U3,141.95,-56.45,270.0,bottom
U4,157.95,-56.45,270.0,bottom
